id,drug1,drug1_group,drug2,interaction_effect,severity,onset,management
14,ASPIRIN,ยาต้านการแข็งตัวของเลือด/เกล็ดเลือด,WARFARIN SODIUM,NSAIDS มีผลเพิ่มฤทธิ์ anti-coagulants ของ warfarin เพิ่มความเสี่ยงในการเกิดเลือดออก,Major,Not Specified,ติดตามการใช้ยาของผู้ป่วยอย่างใกล้ชิด ให้คำแนะนำเกี่ยวกับการสังเกตอาการเมื่อเกิดเลือดออก
15,DICLOFENAC,ยาแก้ปวดและต้านการอักเสบ (Analgesics & NSAIDs),WARFARIN SODIUM,NSAIDS มีผลเพิ่มฤทธิ์ anti-coagulants ของ warfarin เพิ่มความเสี่ยงในการเกิดเลือดออก,Major,Not Specified,ติดตามการใช้ยาของผู้ป่วยอย่างใกล้ชิด ให้คำแนะนำเกี่ยวกับการสังเกตอาการเมื่อเกิดเลือดออก
16,IBUPROFEN,ยาแก้ปวดและต้านการอักเสบ (Analgesics & NSAIDs),WARFARIN SODIUM,NSAIDS มีผลเพิ่มฤทธิ์ anti-coagulants ของ warfarin เพิ่มความเสี่ยงในการเกิดเลือดออก,Major,Not Specified,ติดตามการใช้ยาของผู้ป่วยอย่างใกล้ชิด ให้คำแนะนำเกี่ยวกับการสังเกตอาการเมื่อเกิดเลือดออก
17,SULFAMETHOXAZOLE + TRIMETHOPRIM,ยาปฏิชีวนะ (Antibiotics),WARFARIN SODIUM,Co-trimoxazole เพิ่ม anticoagulant effect ของ warfarin อาจเกิด bleeding ได้,Major,Not Specified,ควรติดตามผลของ warfarin ปรับขนาดยาให้เหมาะสม แนะนำให้ลดขนาดยา warfarin ลง 10-20%
18,ALLOPURINOL,ยาอื่นๆ (Others),WARFARIN SODIUM,เพิ่มความเสี่ยงการเกิด bleeding ผ่านการยับยั้ง CYP1A2,Major,Delayed,มีรายงานให้ติดตามค่า INR เมื่อเริ่ม ขณะใช้หรือหยุดยา allopurinol อย่างใกล้ชิด
19,AMIODARONE,ยาลดความดันโลหิตและโรคหัวใจ,WARFARIN SODIUM,มีผลทำให้ค่า INR เพิ่มขึ้น เพิ่มความเสี่ยงการเกิด bleeding การใช้ร่วมกันจะทำให้ PT เพิ่มขึ้น 100% หลังให้ร่วมกัน 3-4 วัน,Major,Delayed,หากให้ร่วมกันแนะนำให้ลดขนาดยา warfarin ลง 1/2 ถึง 1/4 และติดตาม INR อย่างใกล้ชิด โดยเฉพาะช่วง 1-2 สัปดาห์แรก โดยฤทธิ์สามารถคงอยู่ได้นานหลายสัปดาห์หรือหลายเดือนหลังหยุด amiodarone
20,CIPROFLOXACIN,ยาปฏิชีวนะ (Antibiotics),WARFARIN SODIUM,มีผลทำให้ค่า INR เพิ่มขึ้น,Major,Delayed,ควรติดตามค่า INR อย่างใกล้ชิด โดยเฉพาะเมื่อเริ่ม หยุด ciprofloxacin
21,CLARITHROMYCIN,ยาปฏิชีวนะ (Antibiotics),WARFARIN SODIUM,มีผลทำให้ค่า INR เพิ่มขึ้น และเพิ่มความเสี่ยงการเกิด bleeding,Major,Delayed,ควรติดตามค่า INR อย่างใกล้ชิด โดยเฉพาะเมื่อเริ่ม หยุด clarithromycin
22,CLOPIDOGREL,ยาต้านการแข็งตัวของเลือด/เกล็ดเลือด,WARFARIN SODIUM,เพิ่มความเสี่ยงต่อการเกิด bleeding,Major,Not Specified,ไม่ควรให้ยานี้คู่กัน หากจำเป็นต้องติดตามอาการที่มีภาวะเลือดออกและแนะนำผู้ป่วย
23,GEMFIBROZIL,ยาลดไขมัน (Lipid-Lowering Agents),WARFARIN SODIUM,เพิ่มความเสี่ยงการเกิด bleeding,Major,Delayed,ควรติดตามค่า INR อย่างใกล้ชิด และอาจปรับขนาดยา warfarin ลง
24,DIGOXIN,ยาลดความดันโลหิตและโรคหัวใจ,VERAPAMIL HYDROCHLORIDE,ระดับยา digoxin ใน serum เพิ่มขึ้น กดการทำงานของ cardiac conduction ได้ เพิ่มความเสี่ยงการเกิด complete heart block,Major,Rapid,หากหยุด verapamil ให้ติดตามระดับยา digoxin และปรับขนาดยา digoxin
25,DIGOXIN,ยาลดความดันโลหิตและโรคหัวใจ,AMIODARONE,amiodarone มีผลทำให้ระดับยา digoxin ในเลือดเพิ่มมากขึ้น จนเกิดอาการพิษจาก digoxin ได้,Major,Not Specified,"ติดตามระดับยา digoxin หรือแนะนำให้ลดระดับยา IV, IM ลง 15-30% และ oral 30-50%"
26,DIGOXIN,ยาลดความดันโลหิตและโรคหัวใจ,LOPINAVIR + RITONAVIR,ยา lopinavir มีผลลดการขับ digoxin ทางปัสสาวะ ทำให้ระดับยา digoxin ในเลือดเพิ่มสูงขึ้น อาจทำให้เกิดพิษจากยา,Major,Delayed,"ควรติดตามระดับ digoxin ในเลือด และอาการพิษจาก digoxin, ปรับขนาดยา digoxin ตามความเหมาะสมเมื่อเริ่ม protease inhibitor "
27,DILTIAZEM HYDROCHLORIDE,ยาอื่นๆ (Others),CLARITHROMYCIN,ทำให้ระดับยา diltiazem สูงขึ้นเสี่ยง hypotension,Major,Delayed,ควรหลีกเลี่ยงยานี้ร่วมกัน และติดตามอาการไม่พึงประสงค์จาก diltiazem
28,CHLORPROMAZINE HYDROCHLORIDE,ยาอื่นๆ (Others),LEVOFLOXACIN,เพิ่มความเสี่ยงการเกิด QT interval prolongation,Major,Not Specified,หลีกเลี่ยงการใช้ร่วมกัน
29,ENALAPRIL MALEATE,ยาลดความดันโลหิตและโรคหัวใจ,LOSARTAN POTASSIUM,การใช้ยา ACEI ร่วมกับ ARB ส่งผลยับยั้ง renin-angiotensin-aldosterone system เหมือนกัน ซึ่งมีผลข้างเคียงคือ ไตวาย ความดันเลือดต่ำหน้ามืด และท้องเสีย จนเป็นอันตรายถึงชีวิต,Major,Not Specified,"หลีกเลี่ยงการใช้ร่วมกัน หากจำเป็นต้องใช้ ติดตามค่า BP, renal function, electrolyte "
30,ENALAPRIL,ยาลดความดันโลหิตและโรคหัวใจ,SPIRONOLACTONE,หากใช้ร่วมกันจะทำให้ระดับ K สูง เสี่ยง renal impairment,Major,Delayed,หากจำเป็นให้คู่กัน ต้องติดตาม renal function และระดับ K
31,LOSARTAN,ยาลดความดันโลหิตและโรคหัวใจ,SPIRONOLACTONE,หากใช้ร่วมกันจะทำให้ระดับ K สูง เสี่ยง renal impairment,Major,Delayed,หากจำเป็นให้คู่กัน ต้องติดตาม renal function และระดับ K
32,POTASSIUM CHLORIDE,ยาอื่นๆ (Others),SPIRONOLACTONE,ทำให้เกิดภาวะ severe hyperkalemia,Major,Delayed,ควรหยุดการให้ K เสริมหลังเริ่มยา spironolactone หากใช้ร่วมกันอยู่ ให้ติดตามระดับ serum K อย่างใกล้ชิด
33,FUROSEMIDE,ยาลดความดันโลหิตและโรคหัวใจ,GENTAMICIN SULFATE,เกิดการเสริมฤทธิ์การเป็นพิษต่อหู เกิดการไม่ได้ยินในระดับต่างๆ และอาจเกิดการไม่ได้ยินอย่างถาวร เนื่องจากมีผลเพิ่มความเสี่ยงในการเกิด nephrotoxicity และ ototoxicity ได้,Major,Not Specified,หลีกเลี่ยงการใช้ยาร่วมกัน
34,AMILORIDE + HYDROCHLOROTHIAZIDE,ยาลดความดันโลหิตและโรคหัวใจ,POTASSIUM CHLORIDE,ลด potassium clearance ส่งผลให้เกิดภาวะ hyperkalemia,Major,Delayed,ไม่ควรใช้ร่วมกัน แต่เมื่อจำเป็นต้องใช้ร่วมกัน ผู้ป่วยต้องถูกจำกัดอาหารที่มี K สูง และตรวจวัดระดับ K ในเลือดอย่างสม่ำเสมอ
35,FUROSEMIDE,ยาลดความดันโลหิตและโรคหัวใจ,STREPTOMYCIN,เพิ่มความเสี่ยงในการเกิด nephrotoxicity และ ototoxicity ได้ โดยเฉพาะผู้ที่การทำงานของไตบกพร่อง,Major,Not Specified,หลีกเลี่ยงการใช้ร่วมกัน
36,DICLOFENAC,ยาแก้ปวดและต้านการอักเสบ (Analgesics & NSAIDs),METHOTREXATE,"เพิ่ม methotrexate plasma concentrations ทำให้เพิ่มความเสี่ยงการเกิดพิษของ methotrexate (leukopenia, thrombocytopenia, anemia, nephrotoxicity, mucosal ulcerations) ",Major,Delayed,"หลีกเลี่ยงการใช้ร่วมกัน แต่หากจำเป็นต้องใช้ร่วมกัน ต้องมีการตรวจภาวะพิษจาก Methotrexate เสมอ ได้แก่ leukopenia, anemia, thrombocytopenia, mucosal ulcerations, nephrotoxicity "
37,NAPROXEN,ยาแก้ปวดและต้านการอักเสบ (Analgesics & NSAIDs),METHOTREXATE,"เพิ่ม methotrexate plasma concentrations ทำให้เพิ่มความเสี่ยงการเกิดพิษของ methotrexate (leukopenia, thrombocytopenia, anemia, nephrotoxicity, mucosal ulcerations) ",Major,Delayed,"หลีกเลี่ยงการใช้ร่วมกัน แต่หากจำเป็นต้องใช้ร่วมกัน ต้องมีการตรวจภาวะพิษจาก Methotrexate เสมอ ได้แก่ leukopenia, anemia, thrombocytopenia, mucosal ulcerations, nephrotoxicity "
38,IBUPROFEN,ยาแก้ปวดและต้านการอักเสบ (Analgesics & NSAIDs),METHOTREXATE,"เพิ่ม methotrexate plasma concentrations ทำให้เพิ่มความเสี่ยงการเกิดพิษของ methotrexate (leukopenia, thrombocytopenia, anemia, nephrotoxicity, mucosal ulcerations) ",Major,Delayed,"หลีกเลี่ยงการใช้ร่วมกัน แต่หากจำเป็นต้องใช้ร่วมกัน ต้องมีการตรวจภาวะพิษจาก Methotrexate เสมอ ได้แก่ leukopenia, anemia, thrombocytopenia, mucosal ulcerations, nephrotoxicity "
39,METHOTREXATE,ยาอื่นๆ (Others),SULFAMETHOXAZOLE + TRIMETHOPRIM,มีความเสี่ยงยากลุ่ม Sulfonamide เพิ่มความเสี่ยงในการเกิด MTX induce bone marrow suppression และทำให้เกิดภาวะ megaloblastic anemia,Major,Delayed,หากจำเป็นต้องใช้คู่กัน ให้ติดตาม renal function และอาการแสดงของ methotrexate เป็นพิษ
40,ASPIRIN,ยาต้านการแข็งตัวของเลือด/เกล็ดเลือด,IBUPROFEN,"ลด antiplatelet effect ของ aspirin และเพิ่มความเสี่ยงของการเกิด bleeding, cardiovascular events ลด renal function ",Major,Not Specified,หากจำเป็นต้องให้ร่วมกันควรใช้ aspirin ก่อนให้ ibuprofen 2 ชม หรือหลังให้ ibuprofen 8 ชม
41,ASPIRIN,ยาต้านการแข็งตัวของเลือด/เกล็ดเลือด,NAPROXEN,"ลด antiplatelet effect ของ aspirin และเพิ่มความเสี่ยงของการเกิด bleeding, cardiovascular events ลด renal function ",Major,Not Specified,หากจำเป็นต้องให้ร่วมกันควรใช้ aspirin ก่อนให้ ibuprofen 2 ชม หรือหลังให้ ibuprofen 8 ชม
42,ASPIRIN,ยาต้านการแข็งตัวของเลือด/เกล็ดเลือด,MEFENAMIC ACID,"ลด antiplatelet effect ของ aspirin และเพิ่มความเสี่ยงของการเกิด bleeding, cardiovascular events ลด renal function ",Major,Not Specified,หากจำเป็นต้องให้ร่วมกันควรใช้ aspirin ก่อนให้ ibuprofen 2 ชม หรือหลังให้ ibuprofen 8 ชม
43,LITHIUM CARBONATE,ยาทางจิตเวช (Psychiatric Medications),HYDROCHLOROTHIAZIDE,อาจทำให้เกิดพิษจาก lithium ได้ เนื่องจาก thiazide ส่งผลต่อ renal function ทำให้ระดับ lithium เพิ่มขึ้น,Major,Delayed,หากจำเป็นต้องใช้ร่วมกัน แนะนำให้ลดขนาดยา lithium แรกเริ่ม และค่อยๆ titrate ขนาดยา แนะนำให้ติดตามระดับ lithium และอาการการเกิดพิษจาก lithium ด้วย
44,DILTIAZEM HYDROCHLORIDE,ยาอื่นๆ (Others),CLARITHROMYCIN,clarithromycin ยับยั้ง CYP3A4 ทำให้ระดับยา macrolide ในเลือดสูงขึ้น เสี่ยงต่อ cardiotoxicity และระดับยา diltiazem สูงขึ้นเสี่ยงต่อ hypotention,Major,Delayed,ควรหลีกเลี่ยงการใช้ยาร่วมกัน
45,DILTIAZEM HYDROCHLORIDE,ยาอื่นๆ (Others),ERYTHROMYCIN,clarithromycin ยับยั้ง CYP3A4 ทำให้ระดับยา macrolide ในเลือดสูงขึ้น เสี่ยงต่อ cardiotoxicity และระดับยา diltiazem สูงขึ้นเสี่ยงต่อ hypotention,Major,Delayed,ควรหลีกเลี่ยงการใช้ยาร่วมกัน
46,DILTIAZEM HYDROCHLORIDE,ยาอื่นๆ (Others),SIMVASTATIN,"Diltiazem ยับยั้ง metabolism ของ statin ทำให้ระดับยา statin ในเลือดสูงขึ้น เกิดความเสี่ยงพิษจากยา statin (rhabdomyolysis, myositis) ",Major,Rapid,หากต้องใช้ร่วมกัน แนะนำให้ใช้ simvastatin ไม่เกิน 10 mg/day และ diltiazem ไม่เกิน 240 mg/day
47,LITHIUM CARBONATE,ยาทางจิตเวช (Psychiatric Medications),TRAMADOL HYDROCHLORIDE,อาจทำให้เกิด serotonin syndrome,Major,Not Specified,ควรหลีกเลี่ยงการใช้ยาร่วมกัน หากใช้ร่วมกัน ควรแนะนำอาการ serotonin syndrome ให้แก่ผู้ป่วย
48,KETOCONAZOLE,ยาต้านเชื้อรา (Antifungals),OMEPRAZOLE,ลดการดูดซึม ketoconazole ทำให้ประสิทธิภาพการรักษาลดลง,Major,Not Specified,ควรหลีกเลี่ยงการใช้ร่วมกัน หรือหากจำเป็นต้องใช้ร่วมกัน อาจเพิ่มขนาดยา ketonazole
49,PROPRANOLOL,ยาลดความดันโลหิตและโรคหัวใจ,VERAPAMIL HYDROCHLORIDE,"เพิ่มความเสี่ยงในการเกิด hypotension, bradycardia และ slow AV conduction ",Major,Rapid,หากใช้ร่วมกัน แนะนำให้ติดตาม cardiac function และ BP อย่างใกล้ชิด โดยเฉพาะในผู้ป่วย heart failure
50,ATENOLOL,ยาลดความดันโลหิตและโรคหัวใจ,VERAPAMIL HYDROCHLORIDE,"เพิ่มความเสี่ยงในการเกิด hypotension, bradycardia และ slow AV conduction ",Major,Rapid,หากใช้ร่วมกัน แนะนำให้ติดตาม cardiac function และ BP อย่างใกล้ชิด โดยเฉพาะในผู้ป่วย heart failure
51,RISPERIDONE,ยาอื่นๆ (Others),SERTRALINE,Fluoxetine ยั้บยั้งเมตาบอลิซึมของ riperidone เสี่ยงต่อการเกิด serotonin syndrome และ QT interval prolongation,Major,Not Specified,ควรหลีกเลี่ยงการใช้ร่วมกัน หากต้องให้ร่วมกัน แนะนำติดตามอย่างใกล้ชิด และติดตาม EKG หรืออาจลดขนาดยา risperidone ลง
52,RISPERIDONE,ยาอื่นๆ (Others),FLUOXETINE,Fluoxetine ยั้บยั้งเมตาบอลิซึมของ riperidone เสี่ยงต่อการเกิด serotonin syndrome และ QT interval prolongation,Major,Not Specified,ควรหลีกเลี่ยงการใช้ร่วมกัน หากต้องให้ร่วมกัน แนะนำติดตามอย่างใกล้ชิด และติดตาม EKG หรืออาจลดขนาดยา risperidone ลง
53,LEVOFLOXACIN,ยาปฏิชีวนะ (Antibiotics),AMITRIPTYLINE,"เพิ่มความเสี่ยง cardiac arrhythmia, torsade de pointes, QT interval prolongation ",Major,Not Specified,ควรหลีกเลี่ยงการใช้ร่วมกัน
54,LEVOFLOXACIN,ยาปฏิชีวนะ (Antibiotics),NORTRIPTYLINE,"เพิ่มความเสี่ยง cardiac arrhythmia, torsade de pointes, QT interval prolongation ",Major,Not Specified,ควรหลีกเลี่ยงการใช้ร่วมกัน
55,ATORVASTATIN,ยาลดไขมัน (Lipid-Lowering Agents),GEMFIBROZIL,เพิ่มความเสี่ยงในการเกิด myopathy หรือ rhabdomyolysis,Major,Delayed,หลีกเลี่ยงการใช้ร่วมกัน
56,HALOPERIDOL,ยาลดความดันโลหิตและโรคหัวใจ,LITHIUM CARBONATE,"ส่งผลให้เกิดอาการ weakness, dyskinesias, increased extrapyramidal symptoms, encephalopathy, and brain damage ",Major,Delayed,หากจำเป็นเมื่อใช้ร่วมกันให้ติดตามอาการอย่างใกล้ชิดและอาการ extrapyramidal symptoms
57,PROPRANOLOL,ยาลดความดันโลหิตและโรคหัวใจ,SALBUTAMOL,ยาออกฤทธิ์ตรงกันข้ามกัน ยับยั้งซึ่งกันและกัน (pharmacological antagonism),Major,Not Specified,หลีกเลี่ยงการใช้ร่วมกัน แนะนำให้เปลี่ยนไปใช้ cardioselective beta blocker แทน
58,ADRENALINE (EPINEPHRINE),ยาอื่นๆ (Others),PROPRANOLOL,"ส่งผลให้เกิดอาการ hypertension, bradycardia, resistance to epinephrine in anaphylaxis ",Major,Rapid,หลีกเลี่ยงการใช้ร่วมกัน
59,ASPIRIN,ยาต้านการแข็งตัวของเลือด/เกล็ดเลือด,METHOTREXATE,เพิ่มระดับ methotrexate ทำให้เพิ่มความเสี่ยงการเกิดพิษจาก methotrexate,Major,Rapid,หลีกเลี่ยงการใช้ร่วมกัน หากจำเป็นต้องคู่กัน ให้ใช้ติดตาม renal function และอาการแสดงของ methotrexate เป็นพิษ
60,AMOXICILLIN + CLAVULANIC ACID,ยาปฏิชีวนะ (Antibiotics),METHOTREXATE,เพิ่มระดับ methotrexate ทำให้เพิ่มความเสี่ยงการเกิดพิษจาก methotrexate,Major,Delayed,หลีกเลี่ยงการใช้ร่วมกัน หากจำเป็นต้องใช้คู่กัน ให้ติดตาม renal function และอาการแสดงของ methotrexate เป็นพิษ
61,SIMVASTATIN,ยาลดไขมัน (Lipid-Lowering Agents),VERAPAMIL,เพิ่มความเสี่ยงในการเกิด myopathy หรือ rhabdomyolysis,Major,Rapid,หลีกเลี่ยงการใช้ร่วมกัน หากจำเป็นต้องใช้ร่วมกัน ควรใช้ Simvastatin ไม่เกิน 10 mg/day
62,AMIODARONE,ยาลดความดันโลหิตและโรคหัวใจ,SIMVASTATIN,เพิ่มความเสี่ยงในการเกิด myopathy หรือ rhabdomyolysis,Major,Rapid,หลีกเลี่ยงการใช้ร่วมกัน หากจำเป็นต้องใช้ร่วมกัน ควรใช้ Simvastatin ไม่เกิน 20 mg/day
63,FLUOXETINE,ยาทางจิตเวช (Psychiatric Medications),HYDROXYCHLOROQUINE,เพิ่มความเสี่ยงการเกิด QT interval prolongation,Major,Not Specified,หลีกเลี่ยงการใช้ร่วมกัน
64,ALUMINIUM HYDROXIDE+ MAGNESIUM HYDROXIDE+ SIMETHICONE,,KETOCONAZOLE,Alu-Mg จะลดการออกฤทธิ์และระดับยา ketoconazole,Major,Not Specified,เลี่ยงการใช้ร่วมกัน ควรให้ยาห่างกันอย่างน้อย 2 ชม. โดยแนะนำให้ antacid ก่อนให้ ketoconazole 1 ชม หรือหลังให้ 2 ชม
65,ALUMINIUM HYDROXIDE+ MAGNESIUM HYDROXIDE+ SIMETHICONE,,CALCIUM POLYSTYRENE SULFONATE,ลดความสามารถในการแลกเปลี่ยน K ของ Calcium polystyrene sulfonate และเพิ่มความเสี่ยงการเกิด systemic alkalosis,Major,Delayed,แนะนำให้กินห่างกันอย่างน้อย 3 ชม.
66,CANNABIS,ยาอื่นๆ (Others),WARFARIN SODIUM,มีผลทำให้ค่า INR เพิ่มขึ้น และเพิ่มระดับยา warfarin ในเลือด,Major,Not Specified,เมื่อใช้ร่วมกัน แนะนำให้มีการติดตามอย่างใกล้ชิด โดยติดตามค่า INR และการเกิด Bleeding
67,CANNABIS,ยาอื่นๆ (Others),MORPHINE,เพิ่มความเสี่ยงการเกิด CNS depression,Major,Not Specified,หลีกเลี่ยงการใช้ร่วมกัน
68,CARBAMAZEPINE,ยากันชัก (Anticonvulsants),WARFARIN SODIUM,มีฤทธิ์เพิ่มการขับยา warfarin ทำให้ลดประสิทธิภาพของ warfarin,Moderate,Delayed,ไม่ควรให้ยานี้คู่กัน หากจำเป็นควรติดตามค่า INR อย่างใกล้ชิด เมื่อเริ่มหรือหยุดยา
69,CHLORPROMAZINE,ยาอื่นๆ (Others),WARFARIN SODIUM,มีฤทธิ์เพิ่มการทำงานของตับในการขับยา warfarin ทำให้ค่า INR ลดลง เริ่มเห็นผลภายใน 14 วันนับจากที่เริ่มยา,Moderate,Delayed,ไม่ควรให้ยาคู่นี้ร่วมกัน หากจำเป็นให้ติดตามค่า INR อย่างใกล้ชิด หรืออาจเพิ่มขนาดยา warfarin 30%-60% หลังยาได้ยากลุ่ม barbiturate
70,CEFTRIAXONE,ยาปฏิชีวนะ (Antibiotics),WARFARIN SODIUM,มีผลทำให้ค่า INR เพิ่มขึ้น,Moderate,Not Specified,ควรติดตามค่า INR อย่างใกล้ชิด โดยเฉพาะเมื่อเริ่ม หยุด หรือเปลี่ยนขนาดยา ceftriaxone
71,ALUMINIUM HYDROXIDE+ MAGNESIUM HYDROXIDE+ SIMETHICONE,ยาอื่นๆ (Others),DOXYCYCLINE,Alu-Mg จะลดการดูดซึม doxycycline,Moderate,Rapid,ควรหลีกเลี่ยงการใช้ร่วมกัน หรือหากจำเป็นต้องใช้ร่วมกัน ควรให้ยาห่างกันไม่น้อยกว่า 3-4 ชั่วโมง
72,ALUMINIUM HYDROXIDE+ MAGNESIUM HYDROXIDE+ SIMETHICONE,ยาอื่นๆ (Others),FERROUS FUMARATE,Alu-Mg จะลดประสิทธิภาพของ Ferrous fumarate,Moderate,Rapid,ไม่ควรกินยาพร้อมกัน ควรให้ยาห่างกันไม่น้อยกว่า 2 ชม.
73,ALUMINIUM HYDROXIDE+ MAGNESIUM HYDROXIDE+ SIMETHICONE,ยาอื่นๆ (Others),NORFLOXACIN,Alu-Mg จะลดประสิทธิภาพของ Norfloxacin,Moderate,Rapid,ไม่ควรกินยาพร้อมกัน ควรให้ยาห่างกันไม่น้อยกว่า 2 ชม.
74,ALUMINIUM HYDROXIDE+ MAGNESIUM HYDROXIDE+ SIMETHICONE,ยาอื่นๆ (Others),CIPROFLOXACIN,Alu-Mg จะลดประสิทธิภาพของ Ciprofloxacin,Moderate,Rapid,ไม่ควรกินยาพร้อมกัน ควรให้ยาห่างกันไม่น้อยกว่า 2 ชม.
75,FERROUS FUMARATE,วิตามินและยาเสริม (Supplements),NORFLOXACIN,Ferrous fumarate ลดประสิทธิภาพของ Norfloxacin,Moderate,Rapid,เลี่ยงการใช้ร่วมกัน ควรให้ยาห่างกันอย่างน้อย 2 ชม. โดยแนะนำให้ quinolone ก่อนให้ ferrous 2 ชม หรือหลังให้ 4-6 ชม
76,FERROUS FUMARATE,วิตามินและยาเสริม (Supplements),CIPROFLOXACIN,Ferrous fumarate ลดประสิทธิภาพของ Ciprofloxacin,Moderate,Rapid,เลี่ยงการใช้ร่วมกัน ควรให้ยาห่างกันอย่างน้อย 2 ชม. โดยแนะนำให้ quinolone ก่อนให้ ferrous 2 ชม หรือหลังให้ 4-6 ชม
77,FERROUS FUMARATE,วิตามินและยาเสริม (Supplements),DOXYCYCLINE,Ferrous fumarate ลดประสิทธิภาพของ Doxycycline,Moderate,Delayed,ควรให้ยาห่างกันอย่างน้อย 4 ชม.
78,FERROUS FUMARATE,วิตามินและยาเสริม (Supplements),TETRACYCLINE,Ferrous fumarate ลดประสิทธิภาพของ Tetracycline,Moderate,Delayed,ควรให้ยาห่างกันอย่างน้อย 4 ชม.
79,FERROUS FUMARATE,วิตามินและยาเสริม (Supplements),LEVOTHYROXINE SODIUM,ลดประสิทธิภาพของ Levothyroxine,Moderate,Delayed,แนะนำให้กินห่างกันอย่างน้อย 4 ชม.
